qn1k,qn1a,numppl,qn1b,qn1c,qn1d,qn1f,qn1g,qn1h,qn1i,qn1jyear,qn1l,qn2a,qn2b,qn3a,qn3b,qn4a,qn4b,qn4c,qn4e,qn4j,qn20,qn24a,qn24b,qn25a,qn25b,qn25c,qn25d,qn28a,qn28b,cohort,ui_agect_arrival,ui_school,ui_emprate
1,3,5,4,1,66,1,2,96,38,2012,2,98,1,1, ,4,4,1,1, , ,1, ,1, , , ,1,1,1,5,0,3
1,4,5,4,1,55,2,2,96,38,2012,2,0,1,1, ,4,4,1,1, , ,1, ,1, , , ,1,8,1,4,0,3
1,5,5,5,4,15,1,2,96,38,2011,1, , , , , , , , , , , , , , , , , , ,1,1, , 
1,1,1,1,1,25,1,6,6,97,2013, ,99,5,1, ,3,2,1,1, ,1,2,98,1, , , ,1,1,2,2,0,1
1,1,2,1,4,40,1,10,10,1,2012,2,16,6,4,4,4,2,1,1, ,1,1, ,1, , , ,1,1,1,3,0,1
1,2,2,5,5,74,2,10,10,1,2012, ,4,1,1, ,4,4,1,1, , ,1, ,1, , , ,2,2,1,5,0,3
1,1,4,1,4,47,1,97,97,97,2015, ,3,2,5,8,4,4,2,1, ,98,1, ,1, , , ,1,1,3,4,0,1
1,2,4,3,4,34,2,97,97,97,2015,2,12,5,4,8,4,4,2,2,1,1,1, ,1, , , ,1,1,3,3,0,2
1,3,4,5,4,16,1,97,97,97,2015,2,7,2,6,13,4,3,2,6, , ,1, ,2,2,1,1,1,1,3,1,1,3
1,4,4,4,4,11,2,97,97,97,2015,2, , , , , , , , , , , , , , , , , , ,3,1, , 
1,1,1,1,5,56,2,97,6,97,2015, ,98,2,1, ,4,4,1,1, , ,1, ,1, , , ,1,2,3,4,0,3
1,1,4,1,1,32,1,14,97,40, ,2,12,5,5,1,2,1,2,1, ,98,1, ,1, , , ,1,1,1,3,0,1
1,3,4,5,4,1,1,24,24,40, ,1, , , , , , , , , , , , , , , , , , ,1,1, , 
1,4,4,5,4,0,2,24,24,40, ,1, , , , , , , , , , , , , , , , , , ,1,0, , 
1,1,5,1,1,40,1,2,96,97,2011, ,3,2,4,7,4,3,1,1, ,98,1, ,1, , , ,2,2,1,3,0,3
1,2,5,4,1,66,1,2,96,97,2011,2,0,1,8,11,4,4,1,2,2, ,1, ,1, , , ,2,2,1,5,0,3
1,3,5,5,1,66,2,2,96,97,2011,2,0,1,8,11,4,4,1,1, , ,1, ,1, , , ,2,2,1,5,0,3
1,4,5,2,1,35,2,2,96,97,2011,2,4,2,8,11,4,3,1,1, ,4,2,1,1, , , ,2,2,1,3,0,1
1,5,5,4,4,13,2,14,96,97,2011,2, , , , , , , , , , , , , , , , , , ,1,1, , 
1,1,5,1,1,44,2,16,16,99,2015, ,4,2,1, ,4,3,1,2,2, ,1, ,1, , , ,1,1,3,4,0,2
1,2,5,4,4,14,2,97,16,99,2015,2, , , , , , , , , , , , , , , , , , ,3,1, , 
1,3,5,4,4,13,1,97,16,99,2015,2, , , , , , , , , , , , , , , , , , ,3,1, , 
1,4,5,4,4,12,1,97,16,99,2015,2, , , , , , , , , , , , , , , , , , ,3,1, , 
1,5,5,4,4,7,1,97,16,99, ,2, , , , , , , , , , , , , , , , , , ,3,1, , 
1,1,3,1,4,24,1,2,96,97,2012, ,9,2,1, ,3,3,1,1, ,3,1, ,1, , , ,1,1,1,2,0,2
1,2,3,5,1,58,2,2,96,97,2012,2,0,1,1, ,4,4,2,1, , ,1, ,1, , , ,2,2,1,4,0,3
1,3,3,5,1,63,1,2,96,97,2012,2,0,1,8,11,4,4,1,1, , ,1, ,1, , , ,1,1,1,5,0,3
1,1,5,1,1,998,1,2,96,38,2013,2, , , , , , , , , , , , , , , , , , ,2,999, , 
1,2,5,5,1,998,2,2,96,97,2013, ,98,98,5,7,3,3,2,1, , ,1, ,2,1, , ,1,1,2,999, ,3
1,4,5,5,1,998,1,2,96,98,2013,2, , , , , , , , , , , , , , , , , , ,2,999, , 
1,5,5,10,1,998,2,14,96,98, ,2, , , , , , , , , , , , , , , , , , ,2,999, , 
